Module                  Size  Used by
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
spi_intel              32768  1 spi_intel_pci
i2c_smbus              16384  1 i2c_i801
intel_vsec             20480  1 intel_pmc_core
ecc                    45056  1 ecdh_generic
soundcore              16384  2 snd_ctl_led,snd
i2c_algo_bit           16384  3 xe,i915,nouveau
libarc4                12288  1 mac80211
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
igen6_edac             24576  0
ideapad_laptop         49152  0
pmt_telemetry          16384  1 intel_pmc_core
int3400_thermal        24576  0
int3403_thermal        16384  0
platform_profile       12288  1 ideapad_laptop
intel_hid              32768  0
pmt_class              12288  1 pmt_telemetry
acpi_thermal_rel       20480  1 int3400_thermal
acpi_pad              184320  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
sparse_keymap          12288  2 intel_hid,ideapad_laptop
input_leds             12288  0
joydev                 32768  0
serio_raw              20480  0
mac_hid                12288  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
btrfs                2056192  0
blake2b_generic        24576  0
raid10                 77824  0
raid456               196608  0
async_raid6_recov      20480  1 raid456
async_memcpy           16384  2 raid456,async_raid6_recov
async_pq               20480  2 raid456,async_raid6_recov
async_xor              16384  3 async_pq,raid456,async_raid6_recov
async_tx               16384  5 async_pq,async_memcpy,async_xor,raid456,async_raid6_recov
xor                    20480  2 async_xor,btrfs
raid6_pq              126976  4 async_pq,btrfs,raid456,async_raid6_recov
libcrc32c              12288  2 btrfs,raid456
raid1                  61440  0
raid0                  24576  0
dm_mirror              24576  0
dm_region_hash         24576  1 dm_mirror
dm_log                 20480  2 dm_region_hash,dm_mirror
hid_logitech_hidpp     65536  0
hid_logitech_dj        36864  0
usbhid                 77824  2 hid_logitech_dj,hid_logitech_hidpp
crct10dif_pclmul       12288  1
crc32_pclmul           12288  0
hid_multitouch         36864  0
polyval_clmulni        12288  0
hid_generic            12288  0
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
nvme                   61440  5
intel_lpss_pci         28672  0
ucsi_acpi              12288  0
i2c_hid_acpi           12288  0
sha256_ssse3           32768  0
r8169                 118784  0
intel_lpss             12288  1 intel_lpss_pci
nvme_core             212992  6 nvme
xhci_pci               24576  0
thunderbolt           516096  0
typec_ucsi             61440  1 ucsi_acpi
video                  77824  4 ideapad_laptop,xe,i915,nouveau
i2c_hid                40960  1 i2c_hid_acpi
sha1_ssse3             32768  0
realtek                36864  1
idma64                 20480  0
xhci_pci_renesas       20480  1 xhci_pci
nvme_auth              28672  1 nvme_core
typec                 106496  1 typec_ucsi
hid                   180224  6 i2c_hid,usbhid,hid_multitouch,hid_generic,hid_logitech_dj,hid_logitech_hidpp
wmi                    28672  6 video,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop,mxm_wmi,nouveau
pinctrl_tigerlake      28672  1
aesni_intel           356352  7
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
